method,primary_component,focal_group,year,venue_or_identifier,dataset_or_benchmark,paper_url,code_url,publication_maturity,component_isolation,protocol_relevance,reproduction_status,notes
TransFusion,C1,core_language,2024,CVPR 2024,Ego4D-STA / EK-100,https://openaccess.thecvf.com/content/CVPR2024/html/Pasca_Summarize_the_Past_to_Predict_the_Future_Natural_Language_Descriptions_CVPR_2024_paper.html,https://eth-ait.github.io/transfusion-proj/,Archival,dedicated_not_identified,direct,Transcribed-Level (i),
PALM,C1,core_language,2024,ECCV 2024,Ego4D/EK/EGTEA,https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/10743_ECCV_2024_paper.php,https://github.com/DanDoge/Palm,Archival,dedicated,direct,Transcribed-Level (i),
SAFT,C1,core_language,2026,MVA 2026,Ego4D,https://doi.org/10.1007/s00138-025-01774-w,,Archival,dedicated_not_identified,direct,Transcribed-Level (i),
M-CAT,C1,core_language,2024,arXiv:2401.12972,"EK-55/100, EGTEA",https://arxiv.org/abs/2401.12972,,Preprint,dedicated,direct,Transcribed-Level (i),
V-JEPA 2.1,C1,non_llm_diagnostic,2026,arXiv:2603.14482,EK-100,https://arxiv.org/abs/2603.14482,https://github.com/facebookresearch/vjepa2,Preprint,none_for_llm_role,direct,Transcribed-Level (i),
EgoAnticipator,C1,non_llm_diagnostic,2025,IJCAI 2025,Ego4D-STA v1/v2,https://www.ijcai.org/proceedings/2025/0088.pdf,,Archival,dedicated,direct_sta,Transcribed-Level (i),
AntGPT,C2,core_language,2024,ICLR 2024,Ego4D/EK/EGTEA,https://arxiv.org/abs/2307.16368,https://github.com/brown-palm/AntGPT,Archival,dedicated,direct,Transcribed-Level (i),
INSIGHT,C2,core_language,2026,AAAI 2026,Ego4D/EK/EGTEA,https://ojs.aaai.org/index.php/AAAI/article/view/38797,,Archival,dedicated,direct,Transcribed-Level (i),
GP-AMS,C2,core_language,2026,TPAMI 2026,Assembly101,https://doi.org/10.1109/TPAMI.2026.3653482,,Archival,none_identified,direct_procedural,Transcribed-Level (i),
ICVL,C2,core_language,2025,arXiv:2505.01713,Ego4D,https://arxiv.org/abs/2505.01713,,Preprint,dedicated,direct,Transcribed-Level (i),
PAR-VLA,C2,core_language,2026,CVPR 2026,EK-100/EGTEA/50Salads,https://openaccess.thecvf.com/content/CVPR2026/html/Shao_Prototypical_Action_Reasoning_Facilitated_by_Vision-Language_Alignment_for_Egocentric_Action_CVPR_2026_paper.html,,Archival,dedicated,direct,Transcribed-Level (i),
Mascaro et al.,C2,non_llm_diagnostic,2023,WACV 2023,Ego4D,https://openaccess.thecvf.com/content/WACV2023/html/Mascaro_Intention-Conditioned_Long-Term_Human_Egocentric_Action_Anticipation_WACV_2023_paper.html,,Archival,none_identified,direct,Transcribed-Level (i),
PlausiVL,C3,core_language,2024,CVPR 2024,Ego4D/EK,https://openaccess.thecvf.com/content/CVPR2024/html/Mittal_Cant_Make_an_Omelette_Without_Breaking_Some_Eggs_Plausible_Action_CVPR_2024_paper.html,,Archival,dedicated,direct,Transcribed-Level (i),
VideoPlan,C3,core_language,2026,WACV 2026,COIN/CrossTask/Ego4D,https://openaccess.thecvf.com/content/WACV2026/html/Zhang_Enhancing_Visual_Planning_with_Auxiliary_Tasks_and_Multi-token_Prediction_WACV_2026_paper.html,,Archival,dedicated,direct,Transcribed-Level (i),
ActionLLM,C3,core_language,2025,IEEE TMM 2025,50Salads/Breakfast,https://arxiv.org/abs/2501.00795,https://github.com/2tianyao1/ActionLLM,Archival,dedicated,direct,Transcribed-Level (i),
AGA,C3,non_llm_diagnostic,2026,ICLR 2026,EK-100/EK-55/EGTEA,https://openreview.net/forum?id=uKFVZMPppq,https://corcovadoming.github.io/AGA/,Archival,dedicated,direct,Transcribed-Level (i),
LEAP,C4,core_language,2023,arXiv:2312.00055,EK,https://arxiv.org/abs/2312.00055,,Preprint,partial,metric_mismatched,Transcribed-Level (i),
FactCheck,C4,core_language,2026,arXiv:2606.14778,"EK-55, EGTEA",https://arxiv.org/abs/2606.14778,,Preprint,dedicated,direct,Transcribed-Level (i),
SymAnt,C4,non_llm_diagnostic,2025,CMU-RI-TR-25-45,Breakfast/50Salads/EK,https://www.ri.cmu.edu/publications/parameter-efficient-neuro-symbolic-action-anticipation-via-iterative-context-refinement/,,Non-archival,dedicated_source_reported,direct_nonstandard,Transcribed-Level (i),
TR-LLM,C4,boundary,2024,arXiv:2410.03993,Home environment,https://arxiv.org/abs/2410.03993,,Preprint,none,boundary,Transcribed-Level (i),
Anticipate & Act,C4,boundary,2025,arXiv:2502.02066,VirtualHome,https://arxiv.org/abs/2502.02066,,Preprint,none,boundary,Transcribed-Level (i),
HWM,C4,boundary,2026,arXiv:2604.03208,Non-egocentric,https://arxiv.org/abs/2604.03208,,Preprint,none,boundary,Transcribed-Level (i),
AAG,C1,core_language,2026,WACV 2026,IKEA-ASM/Meccano/Assembly101,https://openaccess.thecvf.com/content/WACV2026/html/Benavent-Lledo_Action_Anticipation_at_a_Glimpse_To_What_Extent_Can_Multimodal_WACV_2026_paper.html,,Archival,dedicated,direct_procedural,Transcribed-Level (i),
DCPGN,C1,core_language,2026,CVPR 2026,EgoExoLearn/EgoMe-anti,https://openaccess.thecvf.com/content/CVPR2026/html/Shi_Test-time_Ego-Exo-centric_Adaptation_for_Action_Anticipation_via_Multi-Label_Prototype_Growing_CVPR_2026_paper.html,,Archival,partial,direct_cross_view,Transcribed-Level (i),
TrajPilot,C2,non_llm_diagnostic,2026,arXiv:2605.20388,Ego-Exo4D/Ego4D GoalStep/EK-100,https://arxiv.org/abs/2605.20388,,Preprint,dedicated,direct_adjacent_multibenchmark,Transcribed-Level (i),
