method,primary_component,focal_group,publication_maturity,component_isolation,protocol_relevance,reproduction_status
TransFusion,C1,core_language,Archival,dedicated_not_identified,direct,Transcribed-Level (i)
PALM,C1,core_language,Archival,dedicated,direct,Transcribed-Level (i)
SAFT,C1,core_language,Archival,dedicated_not_identified,direct,Transcribed-Level (i)
M-CAT,C1,core_language,Preprint,dedicated,direct,Transcribed-Level (i)
V-JEPA 2.1,C1,non_llm_diagnostic,Preprint,none_for_llm_role,direct,Transcribed-Level (i)
EgoAnticipator,C1,non_llm_diagnostic,Archival,dedicated,direct_sta,Transcribed-Level (i)
AntGPT,C2,core_language,Archival,dedicated,direct,Transcribed-Level (i)
INSIGHT,C2,core_language,Archival,dedicated,direct,Transcribed-Level (i)
GP-AMS,C2,core_language,Archival,none_identified,direct_procedural,Transcribed-Level (i)
ICVL,C2,core_language,Preprint,dedicated,direct,Transcribed-Level (i)
PAR-VLA,C2,core_language,Archival,dedicated,direct,Transcribed-Level (i)
Mascaro et al.,C2,non_llm_diagnostic,Archival,none_identified,direct,Transcribed-Level (i)
PlausiVL,C3,core_language,Archival,dedicated,direct,Transcribed-Level (i)
VideoPlan,C3,core_language,Archival,dedicated,direct,Transcribed-Level (i)
ActionLLM,C3,core_language,Archival,dedicated,direct,Transcribed-Level (i)
AGA,C3,non_llm_diagnostic,Archival,dedicated,direct,Transcribed-Level (i)
LEAP,C4,core_language,Preprint,partial,metric_mismatched,Transcribed-Level (i)
FactCheck,C4,core_language,Preprint,dedicated,direct,Transcribed-Level (i)
SymAnt,C4,non_llm_diagnostic,Non-archival,dedicated_source_reported,direct_nonstandard,Transcribed-Level (i)
TR-LLM,C4,boundary,Preprint,none,boundary,Transcribed-Level (i)
Anticipate & Act,C4,boundary,Preprint,none,boundary,Transcribed-Level (i)
HWM,C4,boundary,Preprint,none,boundary,Transcribed-Level (i)
AAG,C1,core_language,Archival,dedicated,direct_procedural,Transcribed-Level (i)
DCPGN,C1,core_language,Archival,partial,direct_cross_view,Transcribed-Level (i)
TrajPilot,C2,non_llm_diagnostic,Preprint,dedicated,direct_adjacent_multibenchmark,Transcribed-Level (i)
